Handle,Title,Body (HTML),Vendor,Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Price,Variant Requires Shipping
amalfi-lemon-groves-terracotta-heirloom-amalfi-lemon-branch-with-leaves-no-5-3927d3,Amalfi Lemon Groves & Terracotta - Heirloom Amalfi lemon branch with leaves No. 5,"<p>Transform your living space with Amalfi Lemon Groves & Terracotta - Heirloom Amalfi lemon branch with leaves No. 5. Printed on museum-grade heavyweight matte paper and encased in premium solid wood frames.</p><p>Created to reflect the calming balance of Amalfi Lemon Groves & Terracotta, combining Mustard Yellow, Forest Moss, Amalfi Ultramarine, Terracotta Clay, Sunlit Limewash tones to anchor modern interiors with refined elegance.</p>",Atelier & Canvas,Wall Art,"amalfi lemon groves & terracotta wall art, framed canvas print, modern living room art, large statement art, neutral home decor, gallery wall art, bedroom wall decor, minimalist poster, terracotta art print, fine art giclee, sustainable wall art",Size,12x18 in (30x45 cm),Frame Style,Solid Natural Oak Wood Frame,framed-poster_flat_wood_natural_12x18-in_200-gsm,52.0,TRUE
amalfi-lemon-groves-terracotta-heirloom-amalfi-lemon-branch-with-leaves-no-5-3927d3,Amalfi Lemon Groves & Terracotta - Heirloom Amalfi lemon branch with leaves No. 5,"<p>Transform your living space with Amalfi Lemon Groves & Terracotta - Heirloom Amalfi lemon branch with leaves No. 5. Printed on museum-grade heavyweight matte paper and encased in premium solid wood frames.</p><p>Created to reflect the calming balance of Amalfi Lemon Groves & Terracotta, combining Mustard Yellow, Forest Moss, Amalfi Ultramarine, Terracotta Clay, Sunlit Limewash tones to anchor modern interiors with refined elegance.</p>",Atelier & Canvas,Wall Art,"amalfi lemon groves & terracotta wall art, framed canvas print, modern living room art, large statement art, neutral home decor, gallery wall art, bedroom wall decor, minimalist poster, terracotta art print, fine art giclee, sustainable wall art",Size,12x18 in (30x45 cm),Frame Style,Matte Black Solid Wood Frame,framed-poster_flat_wood_black_12x18-in_200-gsm,50.0,TRUE
amalfi-lemon-groves-terracotta-heirloom-amalfi-lemon-branch-with-leaves-no-5-3927d3,Amalfi Lemon Groves & Terracotta - Heirloom Amalfi lemon branch with leaves No. 5,"<p>Transform your living space with Amalfi Lemon Groves & Terracotta - Heirloom Amalfi lemon branch with leaves No. 5. Printed on museum-grade heavyweight matte paper and encased in premium solid wood frames.</p><p>Created to reflect the calming balance of Amalfi Lemon Groves & Terracotta, combining Mustard Yellow, Forest Moss, Amalfi Ultramarine, Terracotta Clay, Sunlit Limewash tones to anchor modern interiors with refined elegance.</p>",Atelier & Canvas,Wall Art,"amalfi lemon groves & terracotta wall art, framed canvas print, modern living room art, large statement art, neutral home decor, gallery wall art, bedroom wall decor, minimalist poster, terracotta art print, fine art giclee, sustainable wall art",Size,12x18 in (30x45 cm),Frame Style,Museum-Grade Matte Fine Art Print (Unframed),poster_matte_12x18-in_250-gsm,26.0,TRUE
amalfi-lemon-groves-terracotta-heirloom-amalfi-lemon-branch-with-leaves-no-5-3927d3,Amalfi Lemon Groves & Terracotta - Heirloom Amalfi lemon branch with leaves No. 5,"<p>Transform your living space with Amalfi Lemon Groves & Terracotta - Heirloom Amalfi lemon branch with leaves No. 5. Printed on museum-grade heavyweight matte paper and encased in premium solid wood frames.</p><p>Created to reflect the calming balance of Amalfi Lemon Groves & Terracotta, combining Mustard Yellow, Forest Moss, Amalfi Ultramarine, Terracotta Clay, Sunlit Limewash tones to anchor modern interiors with refined elegance.</p>",Atelier & Canvas,Wall Art,"amalfi lemon groves & terracotta wall art, framed canvas print, modern living room art, large statement art, neutral home decor, gallery wall art, bedroom wall decor, minimalist poster, terracotta art print, fine art giclee, sustainable wall art",Size,18x24 in (45x60 cm),Frame Style,Solid Natural Oak Wood Frame,framed-poster_flat_wood_natural_18x24-in_200-gsm,76.0,TRUE
amalfi-lemon-groves-terracotta-heirloom-amalfi-lemon-branch-with-leaves-no-5-3927d3,Amalfi Lemon Groves & Terracotta - Heirloom Amalfi lemon branch with leaves No. 5,"<p>Transform your living space with Amalfi Lemon Groves & Terracotta - Heirloom Amalfi lemon branch with leaves No. 5. Printed on museum-grade heavyweight matte paper and encased in premium solid wood frames.</p><p>Created to reflect the calming balance of Amalfi Lemon Groves & Terracotta, combining Mustard Yellow, Forest Moss, Amalfi Ultramarine, Terracotta Clay, Sunlit Limewash tones to anchor modern interiors with refined elegance.</p>",Atelier & Canvas,Wall Art,"amalfi lemon groves & terracotta wall art, framed canvas print, modern living room art, large statement art, neutral home decor, gallery wall art, bedroom wall decor, minimalist poster, terracotta art print, fine art giclee, sustainable wall art",Size,18x24 in (45x60 cm),Frame Style,Matte Black Solid Wood Frame,framed-poster_flat_wood_black_18x24-in_200-gsm,73.0,TRUE
amalfi-lemon-groves-terracotta-heirloom-amalfi-lemon-branch-with-leaves-no-5-3927d3,Amalfi Lemon Groves & Terracotta - Heirloom Amalfi lemon branch with leaves No. 5,"<p>Transform your living space with Amalfi Lemon Groves & Terracotta - Heirloom Amalfi lemon branch with leaves No. 5. Printed on museum-grade heavyweight matte paper and encased in premium solid wood frames.</p><p>Created to reflect the calming balance of Amalfi Lemon Groves & Terracotta, combining Mustard Yellow, Forest Moss, Amalfi Ultramarine, Terracotta Clay, Sunlit Limewash tones to anchor modern interiors with refined elegance.</p>",Atelier & Canvas,Wall Art,"amalfi lemon groves & terracotta wall art, framed canvas print, modern living room art, large statement art, neutral home decor, gallery wall art, bedroom wall decor, minimalist poster, terracotta art print, fine art giclee, sustainable wall art",Size,18x24 in (45x60 cm),Frame Style,Nordic White Wood Frame,framed-poster_flat_wood_white_18x24-in_200-gsm,73.0,TRUE
amalfi-lemon-groves-terracotta-heirloom-amalfi-lemon-branch-with-leaves-no-5-3927d3,Amalfi Lemon Groves & Terracotta - Heirloom Amalfi lemon branch with leaves No. 5,"<p>Transform your living space with Amalfi Lemon Groves & Terracotta - Heirloom Amalfi lemon branch with leaves No. 5. Printed on museum-grade heavyweight matte paper and encased in premium solid wood frames.</p><p>Created to reflect the calming balance of Amalfi Lemon Groves & Terracotta, combining Mustard Yellow, Forest Moss, Amalfi Ultramarine, Terracotta Clay, Sunlit Limewash tones to anchor modern interiors with refined elegance.</p>",Atelier & Canvas,Wall Art,"amalfi lemon groves & terracotta wall art, framed canvas print, modern living room art, large statement art, neutral home decor, gallery wall art, bedroom wall decor, minimalist poster, terracotta art print, fine art giclee, sustainable wall art",Size,18x24 in (45x60 cm),Frame Style,Gallery Stretched Fine Art Canvas,canvas_slim_18x24-in_wood-frame,68.0,TRUE
amalfi-lemon-groves-terracotta-heirloom-amalfi-lemon-branch-with-leaves-no-5-3927d3,Amalfi Lemon Groves & Terracotta - Heirloom Amalfi lemon branch with leaves No. 5,"<p>Transform your living space with Amalfi Lemon Groves & Terracotta - Heirloom Amalfi lemon branch with leaves No. 5. Printed on museum-grade heavyweight matte paper and encased in premium solid wood frames.</p><p>Created to reflect the calming balance of Amalfi Lemon Groves & Terracotta, combining Mustard Yellow, Forest Moss, Amalfi Ultramarine, Terracotta Clay, Sunlit Limewash tones to anchor modern interiors with refined elegance.</p>",Atelier & Canvas,Wall Art,"amalfi lemon groves & terracotta wall art, framed canvas print, modern living room art, large statement art, neutral home decor, gallery wall art, bedroom wall decor, minimalist poster, terracotta art print, fine art giclee, sustainable wall art",Size,18x24 in (45x60 cm),Frame Style,Museum-Grade Matte Fine Art Print (Unframed),poster_matte_18x24-in_250-gsm,33.0,TRUE
amalfi-lemon-groves-terracotta-heirloom-amalfi-lemon-branch-with-leaves-no-5-3927d3,Amalfi Lemon Groves & Terracotta - Heirloom Amalfi lemon branch with leaves No. 5,"<p>Transform your living space with Amalfi Lemon Groves & Terracotta - Heirloom Amalfi lemon branch with leaves No. 5. Printed on museum-grade heavyweight matte paper and encased in premium solid wood frames.</p><p>Created to reflect the calming balance of Amalfi Lemon Groves & Terracotta, combining Mustard Yellow, Forest Moss, Amalfi Ultramarine, Terracotta Clay, Sunlit Limewash tones to anchor modern interiors with refined elegance.</p>",Atelier & Canvas,Wall Art,"amalfi lemon groves & terracotta wall art, framed canvas print, modern living room art, large statement art, neutral home decor, gallery wall art, bedroom wall decor, minimalist poster, terracotta art print, fine art giclee, sustainable wall art",Size,24x36 in (60x90 cm),Frame Style,Solid Natural Oak Wood Frame,framed-poster_flat_wood_natural_24x36-in_200-gsm,110.0,TRUE
amalfi-lemon-groves-terracotta-heirloom-amalfi-lemon-branch-with-leaves-no-5-3927d3,Amalfi Lemon Groves & Terracotta - Heirloom Amalfi lemon branch with leaves No. 5,"<p>Transform your living space with Amalfi Lemon Groves & Terracotta - Heirloom Amalfi lemon branch with leaves No. 5. Printed on museum-grade heavyweight matte paper and encased in premium solid wood frames.</p><p>Created to reflect the calming balance of Amalfi Lemon Groves & Terracotta, combining Mustard Yellow, Forest Moss, Amalfi Ultramarine, Terracotta Clay, Sunlit Limewash tones to anchor modern interiors with refined elegance.</p>",Atelier & Canvas,Wall Art,"amalfi lemon groves & terracotta wall art, framed canvas print, modern living room art, large statement art, neutral home decor, gallery wall art, bedroom wall decor, minimalist poster, terracotta art print, fine art giclee, sustainable wall art",Size,24x36 in (60x90 cm),Frame Style,Matte Black Solid Wood Frame,framed-poster_flat_wood_black_24x36-in_200-gsm,105.0,TRUE
